Instruction,Opcode (Binary),Funct3 (Binary),,Control Signals,,,,,,,,,,,
,,,Funct7,ALUSrc,"ALUControl [0000=AND, 0001=OR, 0010=ADD,  0110=SUB]","ImmType [000=I, 001=S, 010=SB, 011=U, 100=UJ]","ResultSrc [00=ALU result, 01=dmem, 10=PC]",MemWrite [MemWrite from register],RegWrite [RegWrite from inst],"imm_sel [00=zero, 01=sign, 10=lui]","Branch type [00=beq, 01 bne, 10 blt, 11 bge]",Jump,and link,PCReg,auipcSrc
addi,"""0010011""","""000""",,1,"""0010""",D,"""00""",0,1,"""01""",,0,,0,
add,"""0110011""","""000""","""0000000""",0,"""0010""",D,"""00""",0,1,"""DD""",,0,,0,
and,"""0110011""","""111""","""0000000""",0,"""0000""",D,"""00""",0,1,"""DD""",,0,,0,
andi,"""0010011""","""111""",,1,"""0000""","""000""","""00""",0,1,"""00""",,0,,0,
lui,"""0110111""",,,1,"""0010""","""000""","""00""",0,1,"""10""",,0,,0,
lw,"""0000011""","""010""",,1,"""0010""","""000""","""01""",0,1,"""01""",,0,,0,
xor,"""0110011""","""100""","""0000000""",0,"""0011""",D,"""00""",0,1,D,,0,,0,
xori,"""0010011""","""100""",,1,"""0011""","""000""","""00""",0,1,"""00""",,0,,0,
or,"""0110011""","""110""","""0000000""",0,"""0001""",D,"""00""",0,1,D,,0,,0,
ori,"""0010011""","""110""",,1,"""0001""","""000""","""00""",0,1,"""00""",,0,,0,
slt,"""0110011""","""010""","""0000000""",0,"""1000""","""000""","""00""",0,1,D,"""010""",0,,0,
slti,"""0010011""","""010""",,1,"""1000""","""000""","""00""",0,1,"""01""","""010""",0,,0,
sltiu,"""0010011""","""011""",,1,"""1001""","""000""","""00""",0,1,"""01""","""100""",0,,0,
sll,"""0110011""","""001""","""0000000""",0,"""0100""","""000""","""00""",0,1,D,,0,,0,
srl,"""0110011""","""101""","""0000000""",0,"""0101""","""000""","""00""",0,1,D,,0,,0,
sra,"""0110011""","""101""","""0100000""",0,"""0111""","""000""","""00""",0,1,D,,0,,0,
sw,"""0100011""","""010""",,1,"""0010""","""001""","""01""",1,0,"""01""",,0,,0,
sub,"""0110011""","""000""","""0100000""",0,"""0110""","""000""","""00""",0,1,"""01""",,0,,0,
beq,"""1100011""","""000""",,0,"""0110""","""010""",D,0,0,"""01""","""000""",0,,0,
bne,"""1100011""","""001""",,0,"""0110""","""010""",D,0,0,"""01""","""001""",0,,0,
blt,"""1100011""","""100""",,0,"""0110""","""010""",D,0,0,"""01""","""010""",0,,0,
bge,"""1100011""","""101""",,0,"""0110""","""010""",D,0,0,"""01""","""011""",0,,0,
bltu,"""1100011""","""110""",,0,"""0110""","""010""",D,0,0,"""00""","""100""",0,,0,
bgeu,"""1100011""","""111""",,0,"""0110""","""010""",D,0,0,"""00""","""101""",0,,0,
jal,"""1101111""",,,1,"""0010""","""100""","""10""",0,1,"""01""",,1,1,0,
jalr,"""1100111""","""000""",,1,"""0010""","""000""","""10""",0,1,"""01""",,1,1,1,
lb,"""0000011""","""000""",,1,"""0010""","""000""","""01""",0,1,"""01""",,0,,0,
lh,"""0000011""","""001""",,1,"""0010""","""000""","""01""",0,1,"""01""",,0,,0,
lbu,"""0000011""","""100""",,1,"""0010""","""000""","""01""",0,1,"""00""",,0,,0,
lhu,"""0000011""","""101""",,1,"""0010""","""000""","""01""",0,1,"""01""",,0,,0,
slli,"""0010011""","""001""","""0000000""",1,"""0100""","""000""","""00""",0,1,"""00""",,0,,0,
srli,"""0010011""","""101""","""0000000""",1,"""0101""","""000""","""00""",0,1,"""00""",,0,,0,
srai,"""0010011""","""101""","""0100000""",1,"""0111""","""000""","""00""",0,1,"""00""",,0,,0,
auipc,"""0010111""",,,1,"""0010""","""011""","""00""",0,1,"""10""",,0,,0,1
wfi,"""0101100""",,D,D,D,D,D,0,0,D,D,0,,0,
